Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Month,Region,Classes
26.9,53,10.4,0.24,89.8,33.4,211.2,12.8,34.2,43.9,7,Bejaia,fire
30.7,76,15.8,1.88,87.6,16.7,187.6,15.6,19.4,32.1,9,Bejaia,not fire
25.8,42,7.9,0.06,89.8,36.2,258.6,13.1,43.1,51.6,7,Sidi Bel-Abbes,fire
40.2,54,14.4,0.27,92.2,55.7,232.2,11.3,48.7,56.3,7,Bejaia,fire
24.8,87,10.5,0.02,77.1,1.0,262.8,12.5,22.0,24.3,8,Bejaia,not fire
29.8,44,11.3,0.67,87.6,27.7,192.2,12.0,32.2,41.2,8,Bejaia,fire
32.7,88,21.2,1.25,90.5,1.9,213.1,15.5,24.7,35.5,7,Sidi Bel-Abbes,not fire
39.2,68,20.5,0.16,81.2,48.0,221.0,14.4,46.1,60.0,7,Sidi Bel-Abbes,fire
24.8,45,18.0,0.98,89.9,11.6,189.3,14.1,26.2,40.3,7,Bejaia,not fire
37.8,66,9.5,0.17,96.0,43.4,336.1,14.8,64.4,60.0,9,Sidi Bel-Abbes,fire
32.1,73,13.4,1.21,84.3,25.2,274.0,12.3,38.3,47.8,6,Bejaia,not fire
27.1,66,21.1,0.7,82.7,27.9,277.4,12.4,43.1,52.5,7,Sidi Bel-Abbes,fire
34.3,27,15.7,0.82,96.0,52.2,289.5,13.5,52.5,60.0,6,Bejaia,fire
33.0,42,26.6,0.01,93.0,41.7,209.7,17.6,37.6,60.0,7,Sidi Bel-Abbes,fire
29.0,51,17.0,1.65,96.0,40.0,212.0,17.1,38.3,60.0,8,Sidi Bel-Abbes,fire
32.3,54,16.0,0.65,79.0,41.2,216.2,13.9,39.8,52.3,7,Sidi Bel-Abbes,fire
30.1,66,13.5,0.18,92.9,30.2,315.1,11.6,48.4,58.3,6,Bejaia,not fire
32.6,58,15.7,0.88,81.7,40.7,194.2,17.8,51.5,60.0,7,Bejaia,fire
35.3,31,14.2,0.17,96.0,39.8,319.6,14.4,48.3,60.0,6,Bejaia,fire
39.9,62,18.5,1.03,89.3,56.5,334.0,17.0,59.6,60.0,6,Sidi Bel-Abbes,fire
25.8,66,19.8,0.06,86.1,24.8,319.9,14.2,44.1,60.0,9,Sidi Bel-Abbes,fire
42.0,65,11.1,0.61,83.5,41.3,283.4,12.7,51.0,60.0,8,Bejaia,fire
22.2,74,8.3,0.39,81.1,4.8,242.9,12.3,28.0,35.2,9,Sidi Bel-Abbes,not fire
31.2,70,5.8,0.05,94.7,27.1,369.8,13.7,56.9,60.0,9,Bejaia,fire
34.9,63,17.5,0.14,81.7,36.9,242.4,15.5,30.6,49.1,8,Bejaia,fire
33.4,54,9.5,0.01,91.5,43.3,190.2,13.7,28.7,38.9,6,Bejaia,fire
28.9,25,5.0,0.32,93.6,59.5,147.3,10.2,42.0,42.4,8,Bejaia,fire
31.0,63,16.9,0.18,88.8,41.4,288.6,12.8,55.0,60.0,9,Sidi Bel-Abbes,fire
29.5,59,27.5,0.46,87.2,16.6,149.0,17.6,15.4,30.9,8,Sidi Bel-Abbes,fire
29.1,60,15.0,0.18,83.4,34.4,224.9,14.7,24.6,36.6,8,Sidi Bel-Abbes,not fire
36.2,32,19.2,0.18,96.0,69.8,301.3,14.9,67.9,60.0,7,Bejaia,fire
33.8,36,15.4,0.68,96.0,53.7,271.4,16.4,55.2,60.0,9,Sidi Bel-Abbes,fire
28.5,74,14.5,0.02,81.1,31.0,263.7,15.4,36.4,51.6,8,Bejaia,not fire
36.5,54,19.6,1.17,95.6,66.0,281.9,13.6,56.3,60.0,9,Bejaia,fire
33.5,67,13.5,0.96,80.1,43.7,322.1,10.4,49.2,52.9,6,Bejaia,fire
36.1,56,16.3,0.55,86.6,46.9,227.2,13.3,46.7,60.0,7,Bejaia,fire
35.1,56,16.6,0.45,93.3,53.0,237.4,14.9,47.1,60.0,7,Bejaia,fire
27.9,72,11.7,1.11,89.8,21.2,189.5,11.4,32.0,40.8,8,Bejaia,fire
29.2,46,20.0,0.1,92.7,35.8,286.5,18.0,32.3,56.5,6,Sidi Bel-Abbes,fire
35.7,57,14.1,0.04,89.3,39.6,323.3,14.0,47.8,60.0,6,Sidi Bel-Abbes,fire
35.1,47,11.2,0.14,93.5,62.4,296.5,12.8,55.2,60.0,9,Sidi Bel-Abbes,fire
31.9,47,17.7,0.79,85.5,32.0,310.7,11.0,45.8,48.5,6,Sidi Bel-Abbes,fire
32.6,49,10.5,0.02,94.5,55.8,203.9,10.0,45.6,47.2,9,Bejaia,fire
38.4,59,15.1,0.44,95.9,52.3,370.9,14.7,67.2,60.0,7,Bejaia,fire
29.0,46,15.0,2.69,88.3,20.9,294.4,9.1,30.6,28.8,9,Sidi Bel-Abbes,fire
34.7,78,20.4,0.97,81.7,34.3,300.8,16.3,47.5,60.0,8,Sidi Bel-Abbes,fire
31.0,39,17.4,0.37,95.2,21.5,340.4,14.4,47.6,60.0,9,Sidi Bel-Abbes,fire
30.9,52,14.9,0.03,87.8,42.3,171.4,19.7,47.6,60.0,9,Sidi Bel-Abbes,not fire
37.5,47,19.1,0.89,94.3,60.3,252.3,19.8,53.0,60.0,6,Sidi Bel-Abbes,fire
36.1,81,22.0,0.46,94.2,25.8,239.3,15.6,38.5,60.0,6,Sidi Bel-Abbes,fire
36.1,59,17.8,0.06,89.2,44.1,315.8,14.0,44.6,60.0,7,Sidi Bel-Abbes,fire
38.5,74,15.1,0.05,85.4,59.8,239.6,15.0,41.9,60.0,8,Sidi Bel-Abbes,fire
32.1,28,8.4,1.2,94.3,45.0,286.4,15.4,55.4,60.0,9,Bejaia,fire
35.4,60,9.7,0.55,93.5,30.3,340.0,9.0,49.1,44.2,7,Bejaia,fire
30.4,71,13.5,0.88,83.0,40.2,278.2,8.8,53.8,46.3,8,Bejaia,not fire
33.6,56,12.0,1.06,86.6,58.6,271.7,11.0,49.6,54.4,6,Bejaia,not fire
31.3,74,14.1,0.42,90.0,25.6,203.1,14.4,35.7,41.9,9,Sidi Bel-Abbes,fire
32.5,46,15.3,0.36,96.0,52.2,216.4,15.2,57.1,60.0,9,Bejaia,fire
35.0,80,17.6,0.28,80.4,43.2,334.5,15.5,57.1,60.0,7,Sidi Bel-Abbes,fire
27.9,96,14.6,0.19,65.7,1.0,276.6,8.6,29.5,30.1,7,Bejaia,not fire
42.0,48,17.4,0.29,96.0,54.9,305.2,10.2,58.0,59.2,6,Sidi Bel-Abbes,fire
27.0,47,15.3,0.74,86.0,42.8,206.5,14.9,34.2,47.4,8,Sidi Bel-Abbes,fire
25.9,81,5.1,0.46,82.6,28.1,123.7,8.1,33.2,26.9,8,Bejaia,not fire
37.8,83,10.3,1.12,74.0,39.5,224.3,6.5,39.1,22.1,6,Bejaia,not fire
36.0,46,14.3,0.29,96.0,40.3,372.4,14.2,59.9,60.0,7,Sidi Bel-Abbes,fire
35.1,47,9.0,0.47,87.3,66.4,206.9,13.0,46.1,60.0,7,Sidi Bel-Abbes,fire
35.1,50,18.0,0.5,96.0,40.0,280.2,14.8,42.1,60.0,8,Sidi Bel-Abbes,fire
31.9,31,22.7,0.45,96.0,45.1,305.6,15.5,60.3,60.0,8,Bejaia,fire
27.5,38,21.1,0.61,87.4,39.2,168.8,14.8,34.7,51.4,6,Bejaia,fire
32.4,37,13.9,0.14,93.1,61.8,269.8,12.7,65.2,60.0,8,Sidi Bel-Abbes,fire
28.6,41,22.5,0.36,95.4,45.2,286.4,13.6,50.8,60.0,8,Bejaia,fire
36.9,54,15.7,0.06,92.7,50.7,284.5,12.6,44.6,57.6,7,Sidi Bel-Abbes,fire
31.3,59,13.3,0.24,90.8,37.6,397.3,14.1,63.0,60.0,6,Bejaia,fire
27.9,83,11.9,0.33,88.9,14.7,152.6,13.1,19.7,25.8,8,Bejaia,not fire
30.4,37,13.5,0.53,86.3,47.9,299.6,13.0,57.4,60.0,9,Bejaia,fire
34.1,73,13.1,1.5,93.3,6.5,246.7,11.3,28.0,36.4,7,Bejaia,fire
29.2,51,15.9,0.46,89.8,29.8,279.9,13.4,35.2,46.2,7,Bejaia,fire
27.9,54,15.8,0.68,83.2,31.1,254.7,8.7,41.9,36.9,6,Sidi Bel-Abbes,not fire
33.2,67,15.0,0.35,79.8,21.4,225.9,12.8,44.2,53.6,8,Sidi Bel-Abbes,fire
33.2,35,17.2,0.5,95.2,52.9,272.5,17.5,56.2,60.0,6,Bejaia,fire
29.5,62,21.0,0.04,90.8,25.9,154.1,12.4,28.1,35.2,7,Sidi Bel-Abbes,not fire
29.6,58,19.7,0.15,86.8,47.8,276.9,13.4,57.0,60.0,8,Sidi Bel-Abbes,fire
33.2,64,7.6,0.22,95.0,50.1,278.5,12.4,54.0,60.0,8,Bejaia,fire
24.8,60,5.0,0.32,77.1,14.8,252.5,11.7,33.7,38.7,7,Sidi Bel-Abbes,not fire
25.0,99,19.7,0.02,72.7,1.0,277.5,12.3,22.8,26.7,7,Bejaia,not fire
28.4,44,8.2,0.08,84.9,34.3,259.7,9.6,44.3,40.7,8,Sidi Bel-Abbes,fire
30.9,45,13.9,0.16,93.7,34.6,260.4,9.6,48.5,47.4,6,Sidi Bel-Abbes,fire
33.6,44,9.1,1.78,96.0,47.2,205.9,12.6,40.0,45.7,6,Sidi Bel-Abbes,fire
39.4,45,6.0,0.2,94.1,48.7,259.3,15.3,57.4,60.0,9,Sidi Bel-Abbes,fire
36.3,44,17.7,0.33,82.1,39.5,337.5,14.1,53.0,60.0,6,Sidi Bel-Abbes,fire
31.2,76,18.8,0.11,83.7,30.4,326.7,14.0,43.4,60.0,8,Sidi Bel-Abbes,fire
31.9,81,12.1,0.47,84.0,29.8,242.9,12.7,44.2,52.2,9,Sidi Bel-Abbes,fire
27.0,45,5.0,0.16,92.1,23.6,235.6,10.7,33.9,38.2,7,Bejaia,not fire
31.9,40,12.3,0.12,96.0,52.8,213.1,11.7,51.5,60.0,7,Bejaia,fire
30.6,63,17.0,0.36,80.9,23.1,307.8,14.8,40.8,60.0,8,Bejaia,fire
33.6,45,7.6,0.0,96.0,47.2,301.3,12.3,53.4,60.0,9,Bejaia,fire
27.9,66,15.9,0.0,90.0,30.7,336.3,13.8,51.5,60.0,9,Sidi Bel-Abbes,not fire
34.6,59,14.9,0.12,80.8,39.5,227.8,10.6,44.0,43.1,8,Sidi Bel-Abbes,not fire
39.7,28,17.9,0.02,96.0,70.0,279.2,17.6,53.0,60.0,6,Sidi Bel-Abbes,fire
31.5,83,15.6,0.06,78.4,16.3,268.3,13.8,29.4,43.8,8,Bejaia,not fire
34.0,87,10.1,0.21,80.4,22.4,300.3,10.0,45.9,48.1,7,Bejaia,not fire
35.5,44,21.0,0.81,96.0,46.9,258.4,17.9,48.6,60.0,7,Bejaia,fire
30.0,48,14.2,0.42,88.2,28.5,202.1,12.1,31.8,35.6,6,Sidi Bel-Abbes,fire
33.1,60,14.9,0.36,85.1,34.4,306.1,11.4,41.0,48.7,6,Bejaia,fire
32.1,61,10.3,0.17,87.9,18.1,294.6,10.4,33.1,34.4,8,Sidi Bel-Abbes,not fire
32.5,67,12.8,1.34,80.8,26.6,203.2,8.4,23.5,12.7,7,Bejaia,not fire
28.1,91,10.6,0.25,71.3,7.8,305.9,11.2,34.0,40.6,7,Sidi Bel-Abbes,not fire
32.1,52,14.1,0.05,93.9,35.8,318.7,10.0,46.8,46.5,7,Bejaia,fire
34.5,41,23.6,0.48,89.3,46.2,274.4,13.5,45.7,60.0,9,Sidi Bel-Abbes,fire
39.3,30,8.1,0.06,96.0,62.8,299.7,7.9,61.0,44.9,8,Bejaia,fire
36.8,42,6.9,0.21,96.0,57.5,309.6,11.5,61.5,60.0,7,Bejaia,fire
42.0,54,22.4,0.35,86.0,65.5,263.4,15.0,69.6,60.0,6,Sidi Bel-Abbes,fire
28.2,87,14.0,1.04,74.5,6.2,232.0,11.0,18.7,21.4,7,Sidi Bel-Abbes,not fire
36.4,46,11.7,0.34,96.0,37.8,170.8,11.0,41.8,41.0,9,Bejaia,fire
32.9,59,20.2,0.61,83.8,25.9,302.3,12.1,48.0,55.2,8,Sidi Bel-Abbes,fire
42.0,55,12.0,2.47,92.3,51.8,207.2,13.7,42.7,60.0,8,Bejaia,fire
28.0,76,24.1,0.07,83.4,14.2,314.3,14.5,39.5,56.3,8,Sidi Bel-Abbes,not fire
27.8,100,18.4,0.16,77.8,1.0,220.9,13.9,20.3,30.5,7,Bejaia,not fire
29.0,45,12.6,0.25,89.6,22.3,231.9,11.0,35.3,36.7,9,Sidi Bel-Abbes,fire
22.0,46,25.8,0.27,84.2,16.3,175.9,16.5,33.3,48.7,8,Bejaia,not fire
29.4,74,12.0,0.26,89.7,23.7,229.8,15.2,37.8,56.9,6,Bejaia,fire
28.2,67,18.7,1.19,92.6,28.7,300.0,16.0,46.9,60.0,6,Bejaia,not fire
32.8,88,16.5,0.63,84.8,15.8,133.1,12.6,19.1,22.8,8,Sidi Bel-Abbes,fire
33.7,66,21.5,0.47,87.6,30.5,327.7,15.7,40.6,60.0,9,Bejaia,fire
41.4,49,22.8,0.19,92.1,49.2,322.0,15.6,55.8,60.0,7,Sidi Bel-Abbes,fire
36.8,66,15.2,0.87,84.5,40.4,214.7,13.0,47.7,60.0,9,Sidi Bel-Abbes,fire
29.1,75,11.2,1.55,84.7,12.3,176.3,11.2,16.1,14.3,8,Sidi Bel-Abbes,fire
27.5,70,17.3,0.86,84.9,25.9,312.8,13.4,38.9,53.4,7,Bejaia,not fire
34.5,64,11.6,0.0,95.0,19.0,225.0,13.4,32.6,37.9,6,Sidi Bel-Abbes,not fire
25.4,74,25.1,0.51,83.7,10.1,164.3,13.9,16.6,16.9,6,Sidi Bel-Abbes,not fire
41.2,76,15.7,0.03,80.2,47.3,362.4,10.7,55.9,60.0,8,Sidi Bel-Abbes,fire
37.9,80,13.2,0.15,90.2,37.7,304.9,10.2,47.2,49.7,6,Bejaia,fire
29.7,67,15.9,0.03,79.8,52.9,201.1,9.6,39.7,37.8,7,Sidi Bel-Abbes,fire
23.4,52,8.3,0.46,84.2,24.4,223.4,8.5,29.7,20.9,8,Sidi Bel-Abbes,not fire
38.8,58,10.1,0.58,93.3,38.7,236.8,12.7,46.5,57.0,8,Sidi Bel-Abbes,fire
31.4,77,21.0,0.06,92.7,23.5,311.6,13.8,36.4,49.4,6,Sidi Bel-Abbes,fire
38.2,40,11.7,0.24,96.0,38.5,341.6,14.1,45.4,59.4,7,Bejaia,fire
24.0,62,9.8,0.3,86.6,16.4,243.7,11.7,29.4,32.1,7,Bejaia,not fire
29.0,48,17.7,0.23,89.2,25.7,260.8,10.3,42.6,45.8,8,Sidi Bel-Abbes,fire
32.0,56,20.9,0.06,92.0,45.4,347.5,16.8,56.5,60.0,9,Sidi Bel-Abbes,fire
32.2,78,18.6,0.27,87.2,20.0,258.4,15.9,33.5,52.1,6,Sidi Bel-Abbes,fire
29.7,58,20.0,0.7,85.7,29.1,182.7,12.6,33.0,43.8,9,Sidi Bel-Abbes,fire
35.1,56,11.2,0.04,96.0,36.0,297.7,13.8,39.0,48.1,8,Bejaia,not fire
26.7,31,7.9,0.04,95.3,55.5,337.2,10.2,63.9,60.0,8,Bejaia,fire
31.3,68,22.5,0.22,87.6,25.1,203.5,15.7,34.8,52.3,8,Bejaia,fire
32.6,67,13.4,1.42,89.6,50.2,230.7,10.5,46.1,49.1,7,Bejaia,not fire
34.6,94,13.7,0.55,81.2,30.3,288.2,8.7,49.0,41.7,6,Sidi Bel-Abbes,not fire
35.6,49,21.6,0.57,96.0,51.2,269.4,15.3,46.9,60.0,8,Sidi Bel-Abbes,fire
26.4,59,17.8,0.22,82.4,27.0,180.5,13.3,37.2,46.9,8,Bejaia,not fire
24.3,59,17.3,0.45,81.5,22.9,273.2,12.5,39.5,51.4,8,Bejaia,fire
38.4,83,25.8,0.01,78.7,15.8,407.9,13.2,47.0,60.0,7,Sidi Bel-Abbes,fire
33.7,53,11.8,0.51,93.0,37.9,273.1,12.0,46.2,55.1,9,Sidi Bel-Abbes,fire
28.3,60,19.6,1.22,90.0,35.0,183.9,15.4,35.3,54.0,8,Sidi Bel-Abbes,fire
39.8,66,15.3,0.47,92.4,46.1,216.6,13.7,50.8,60.0,6,Sidi Bel-Abbes,fire
32.6,58,16.3,1.03,96.0,21.9,265.4,14.9,32.1,47.7,7,Sidi Bel-Abbes,fire
37.9,47,22.6,0.64,94.8,51.8,338.2,14.9,55.9,60.0,8,Bejaia,fire
32.3,58,17.5,0.06,92.0,52.5,284.8,16.8,59.9,60.0,8,Bejaia,fire
42.0,74,17.7,1.16,83.2,59.3,298.2,11.3,56.5,60.0,7,Sidi Bel-Abbes,fire
40.8,37,20.4,0.03,96.0,62.7,274.1,16.7,63.2,60.0,9,Sidi Bel-Abbes,fire
30.8,57,13.2,0.38,91.6,42.3,195.4,15.5,49.2,60.0,7,Bejaia,fire
36.9,42,10.8,0.08,96.0,48.9,325.3,13.8,54.9,60.0,7,Sidi Bel-Abbes,fire
35.2,77,9.8,0.01,83.2,15.2,321.8,10.8,43.2,49.4,9,Bejaia,fire
38.8,28,5.2,0.27,96.0,54.7,214.2,10.1,43.0,39.8,9,Bejaia,fire
27.2,45,25.3,0.17,82.5,47.5,313.6,17.9,58.9,60.0,8,Bejaia,fire
35.4,62,9.5,0.33,87.4,37.2,302.5,8.7,49.9,45.4,9,Bejaia,fire
37.3,83,13.9,0.43,88.1,30.6,352.1,11.0,52.9,52.6,6,Sidi Bel-Abbes,not fire
23.2,54,13.6,0.02,88.3,16.5,148.7,12.1,19.9,24.4,9,Sidi Bel-Abbes,not fire
26.1,45,16.5,0.07,92.0,48.7,161.5,16.6,32.2,52.2,7,Bejaia,fire
22.0,89,19.1,0.41,74.6,15.8,198.5,13.9,30.3,39.9,6,Sidi Bel-Abbes,not fire
30.7,29,19.3,0.21,96.0,69.0,276.3,13.5,51.8,60.0,7,Sidi Bel-Abbes,fire
35.6,20,12.1,0.65,96.0,59.6,361.2,12.6,64.3,60.0,7,Sidi Bel-Abbes,fire
39.5,63,14.2,0.53,94.4,50.5,327.6,12.5,62.7,60.0,7,Sidi Bel-Abbes,fire
32.4,46,16.4,0.93,94.5,26.6,240.4,13.0,38.3,49.8,7,Bejaia,fire
40.1,37,13.8,0.59,96.0,76.7,243.5,15.7,72.5,60.0,6,Sidi Bel-Abbes,fire
25.1,68,23.0,0.28,79.6,4.6,284.2,12.1,35.9,43.1,7,Bejaia,not fire
23.5,59,17.5,0.56,73.2,19.4,163.6,15.8,22.8,39.5,8,Bejaia,fire
31.7,45,18.7,0.16,96.0,30.0,338.4,16.9,49.0,60.0,7,Sidi Bel-Abbes,fire
33.9,32,18.3,0.18,95.0,46.0,253.6,17.2,48.1,60.0,7,Bejaia,fire
31.8,71,20.9,0.78,80.4,19.9,330.9,13.4,35.2,45.4,8,Sidi Bel-Abbes,not fire
22.0,67,15.9,0.3,84.5,4.6,241.0,12.9,21.7,26.3,9,Sidi Bel-Abbes,not fire
31.6,53,8.5,0.8,87.9,31.1,242.9,8.5,37.0,32.8,8,Bejaia,fire
25.5,88,17.0,0.86,81.6,1.4,192.8,12.2,9.8,4.1,7,Sidi Bel-Abbes,not fire
35.3,36,11.7,0.97,96.0,61.2,250.0,14.1,55.8,60.0,8,Bejaia,fire
33.8,28,12.4,1.24,96.0,42.8,278.2,15.9,48.0,60.0,6,Bejaia,fire
27.3,43,17.9,0.28,84.1,35.5,237.5,11.6,33.2,38.8,6,Sidi Bel-Abbes,not fire
29.4,54,21.2,0.19,94.5,44.0,215.5,15.1,45.6,60.0,7,Sidi Bel-Abbes,fire
26.7,59,15.1,0.44,86.8,18.6,220.9,12.9,35.0,52.2,9,Sidi Bel-Abbes,fire
31.7,51,16.5,0.23,88.8,30.9,260.0,11.1,42.6,49.7,7,Bejaia,fire
36.8,61,23.5,0.46,90.7,40.6,172.8,17.3,36.0,60.0,6,Sidi Bel-Abbes,fire
27.1,32,16.2,0.61,84.9,49.7,252.2,11.9,53.0,60.0,6,Bejaia,not fire
34.5,81,28.0,0.58,85.0,30.5,217.8,16.5,40.4,60.0,9,Bejaia,fire
29.3,54,17.8,0.23,83.5,26.6,186.7,12.8,33.5,41.5,8,Sidi Bel-Abbes,fire
28.0,75,6.2,0.09,74.7,23.4,154.9,7.8,23.0,15.4,7,Sidi Bel-Abbes,not fire
31.5,61,18.8,0.28,79.8,21.3,164.8,13.6,28.5,36.7,8,Sidi Bel-Abbes,not fire
26.8,63,16.9,0.08,90.0,28.9,165.6,13.6,37.0,46.4,8,Bejaia,fire
29.2,65,21.4,1.1,81.9,29.9,199.7,13.9,31.9,44.1,8,Sidi Bel-Abbes,fire
26.0,63,18.4,0.21,91.8,17.4,325.6,13.2,51.8,60.0,7,Bejaia,fire
41.8,67,14.3,0.08,88.3,42.0,282.0,13.8,46.6,60.0,9,Sidi Bel-Abbes,fire
32.2,79,8.9,0.01,73.9,16.0,269.6,13.4,35.1,46.8,7,Sidi Bel-Abbes,fire
28.5,59,14.0,0.52,81.1,33.1,257.3,12.6,38.9,49.4,8,Bejaia,not fire
33.1,68,10.7,0.51,92.4,44.5,266.8,14.5,50.1,60.0,6,Bejaia,fire
31.4,53,12.1,0.21,88.9,29.8,251.2,9.7,31.3,39.7,7,Sidi Bel-Abbes,not fire
30.9,81,17.9,0.04,78.4,25.9,194.3,13.5,29.7,44.2,7,Sidi Bel-Abbes,fire
35.1,43,23.3,0.26,95.5,27.9,345.3,14.4,43.0,58.0,8,Sidi Bel-Abbes,fire
35.8,87,17.0,0.19,84.2,22.0,367.4,10.6,48.4,51.8,6,Sidi Bel-Abbes,not fire
29.3,54,9.0,0.57,94.0,31.2,157.0,10.6,36.3,36.7,8,Sidi Bel-Abbes,fire
29.1,29,17.2,0.47,96.0,34.5,189.7,17.2,39.5,60.0,7,Bejaia,fire
30.6,57,21.0,0.23,86.3,23.2,236.9,16.8,23.4,35.4,8,Bejaia,fire
22.0,43,12.0,0.12,81.5,16.0,160.5,12.2,34.2,43.2,9,Bejaia,fire
24.4,70,14.3,2.21,79.1,16.7,225.3,9.1,32.4,27.5,8,Bejaia,not fire
38.8,43,15.1,0.3,96.0,54.2,254.7,13.7,48.7,60.0,8,Sidi Bel-Abbes,fire
40.2,47,11.1,0.58,91.2,34.6,403.5,13.0,58.4,60.0,8,Bejaia,fire
30.8,21,18.2,0.08,94.3,29.8,312.5,15.3,47.0,60.0,7,Bejaia,fire
34.9,47,14.4,0.33,95.1,40.3,281.7,10.1,45.0,43.0,9,Bejaia,fire
33.6,20,17.1,0.01,96.0,61.7,319.0,12.9,63.7,60.0,7,Sidi Bel-Abbes,fire
42.0,26,10.6,0.35,96.0,43.3,361.8,12.6,54.8,60.0,8,Bejaia,fire
37.6,69,12.8,1.66,84.4,35.9,243.2,13.4,40.2,52.3,8,Sidi Bel-Abbes,fire
31.4,69,18.6,0.24,83.8,22.9,213.6,9.6,29.4,25.8,7,Bejaia,fire
27.2,63,13.1,0.02,80.2,37.0,239.8,11.6,35.3,45.9,7,Sidi Bel-Abbes,fire
24.0,38,23.6,0.02,95.2,25.3,262.8,16.9,39.6,60.0,7,Bejaia,fire
33.0,54,13.0,0.25,95.4,42.8,269.6,15.1,51.3,60.0,9,Sidi Bel-Abbes,fire
28.2,55,16.1,0.09,78.4,30.4,161.4,14.1,33.9,45.2,9,Bejaia,not fire
24.9,34,19.7,0.01,87.6,11.4,184.2,15.8,28.2,41.0,8,Sidi Bel-Abbes,fire
28.8,82,7.9,0.71,72.3,24.2,233.1,8.0,37.0,27.9,8,Sidi Bel-Abbes,fire
26.6,71,6.2,0.31,78.8,19.9,226.1,5.9,29.9,17.4,9,Bejaia,not fire
40.4,51,7.4,0.17,94.5,60.4,399.1,10.9,74.3,60.0,6,Sidi Bel-Abbes,fire
36.4,55,21.3,1.15,84.3,84.3,201.2,16.8,55.5,60.0,7,Sidi Bel-Abbes,fire
32.0,59,12.2,0.06,83.7,13.7,284.5,14.8,30.8,40.6,8,Bejaia,not fire
39.4,20,27.8,1.56,96.0,86.0,355.8,19.4,73.8,60.0,9,Bejaia,fire
32.4,51,12.2,0.19,92.1,36.6,373.6,13.7,61.1,60.0,9,Sidi Bel-Abbes,fire
27.7,43,15.9,1.1,91.4,36.9,207.3,14.7,43.9,60.0,7,Bejaia,fire
39.6,37,22.7,0.46,95.1,60.3,318.0,15.2,64.4,60.0,6,Bejaia,fire
34.7,50,25.0,0.88,93.2,40.2,293.2,16.6,54.8,60.0,7,Bejaia,fire
26.8,87,25.3,2.07,74.5,4.3,223.2,18.4,20.0,33.8,7,Sidi Bel-Abbes,not fire
31.0,67,21.0,0.17,84.2,32.1,248.6,12.8,42.7,53.7,7,Sidi Bel-Abbes,fire
27.6,45,20.1,1.62,96.0,17.7,243.7,18.9,32.6,60.0,8,Sidi Bel-Abbes,fire
25.1,65,18.0,0.25,89.7,25.0,96.4,13.7,26.4,39.0,6,Sidi Bel-Abbes,not fire
